functionName,functionExplain
priceOpen,“당일 장 시작(AM 9:00)과 함께 형성된 최초의 호가라네!”
low,“당일 장중 가장 낮았던 가격을 칭하는 말이라네!”
high,“당일 장중 가장 높았던 가격을 칭하는 말이라네!”
high52,"“지난 52주 (약 1년) 간 가장 높았던 가격을 뜻하네.
여담이네만… 주가가 52주 최고가를 넘어설 땐, 앞으로의 방향에 대해 긍정적으로 해석하는 경우가 많다네!”"
low52,"“지난 52주 (약 1년) 간 가장 낮았던 가격을 뜻하네.
여담이네만… 주가가 52주 최저가보다 낮아진다는 건, 고난의 행군을 걷고 있다는 뜻이기도 하지.. ”"
tradingValue,"“장중의 시장가격에 거래량을 곱한 금액이라네! 거래대금이 많다면, 거래가 활발하게 이루어졌다는 뜻이기도 하지. 다른 말로, 약정대금이라 부르기도 한다네.”"
volume,“하루동안 거래된 주식 수를 말하네”
highestPrice,"“자네, 일확천금을 노리고 있나? 안타깝게도 하루동안 오를 수 있는 상승 폭은, 전날 종가 기준 30%로 제한돼 있다네. 가격제한폭 내에서 상승할 수 있는 최고 가격을 ‘상한가’라고 한다네. 첨언하자면, 국내 주식시장은 2015년 6월 15일부터 기존 15%에서 30%의 제한폭으로 변경해 운용하고 있지.”"
lowestPrice,"“하한가… 말만 들어도 소름이 끼치는 단어라네. 지난 영욕의 세월이 떠오르는군… 본론부터 얘기하자면, 하한가는 전날 종가 기준 30%로 제한돼 있다네. 거래 당일동안 하락할 수 있는 최저 가격을 ‘하한가’라고 하는 것이지. 보통 “하한가 맞았다”라고 표현하지. 덧붙이자면, 국내 주식시장은 2015년 6월 15일부터 기존 15%에서 30%의 제한폭으로 변경해 운용하고 있다네.”"
marketCap,"“시가총액 (時價總額, market capitalization). 개별 종목의 경우, '주가'와 '발행 주식수'를 곱한 수치라네! 회사의 규모를 가늠할 때 사용하지. 같은 맥락으로, 주식시장 전체의 시가총액은 전 상장종목별로 그 날 종가에 상장주식수를 곱한 후 합계해 산출하면 된다네.”"
capitalStock,"“자본금 (capital stock, 資本金). 해당 주식의 액면가 곱하기 발행주식수와 같다네! 신주발행, 법정준비금의 자본전입, 주식배당, 전환사채의 전환 등에 의해 증가하기도 한다네. 또한 주식의 소각, 병합 등에 의한 주식수의 감소 등에 의해 줄어들 수도 있다네. 아참, 주식시장에서 시가총액은 자본금에 비해 항상 더 많은 게 정상이지.. 자본금의 규모를 넘어선 금액은 주식발행초과금이라 부르면 된다네. 혹시 자네 ‘액면가’가 궁금한가. 그렇다면 액면가? 를 검색해보게나.”"
parValue,"“액면가(額面價, par value). 주권표면에 적힌 금액으로 주당 5,000원이 대표적이라네. 하지만 1,000원, 500원, 100원 등을 액면가로 설정한 회사도 많지. 혹은 기존의 액면가를 분할하거나 합병하는 경우도 있다네. 한번 정해놓는다 해서 바꿀 수 없는 건 아니지. 액면이 분할되면 유통주식주가 그만큼 많아지게 되고, 합병된다면 그만큼 줄어드는 것이네. 처음 들어본다고? 혹시 자네, 신문의 증권시세표를 한 번이라도 본 적 있나? 다시 살펴보면 액면가가 구분되어 있다네!”"
per,"‘퍼’. 주가수익비율(Price earning ratio, 이하 PER)은 어떤 회사의 주식가치, 더 나아가 전체 주식시장의 가치가 고평가 됐는지 가늠할 수 있는 유용한 잣대라네.  PER(Price Earning Ratio)를 구하는 방법은 ‘주가 / 주당순이익(EPS)’이라네. 이를 풀어 말하자면, 특정 주식 1주의 시가를 주당이익으로 나눈 수치지. 가령 어떤 기업의 주식가격이 1만원이고, 주당 순이익(EPS)이 1천원이라면 PER는 10이 된다네! 즉 주가가 1주당 실제 수익을 내는 것에 비해 몇 배로 형성됐는지를 따진 수치라네. PER가 높을수록 주당이익에 비해 주식가격이 높다고 해석하지. 그래서 한 때 ‘저PER주’ 열풍이 불며 PER가 낮은 종목들이 크게 각광을 받은 적이 있다네. 물론 오늘 날에도 상당히 유용한 분석 지표라네. 다만 산업마다의 PER를 해석하는 기준이 다르고,  대형주냐 소형주냐에 따라 PER가 높고 낮은 기준을 다르게 해석하기도 하네. 혹자는 PER가 크게 중요하지 않다고 평가하는 경우도 있다네. 정리하자면, PER가 아주 중요한 지표이긴 하네만, PER 하나만 보고 주식투자를 하긴 힘들다네!"
eps,"주당 순이익(Earning Per Share, EPS). 구하는 방벅은 ‘당기순이익/주식수’라네. 1주당 이익을 얼마나 만들어냈는지를 나타내는 지표지. 또한 회사가 특정 기간동안 올린 수익에 대한 주주의 몫을 나타내는 지표로 해석하기도 하네. 따라서 해당 종목 시가와 비교해 EPS가 높으면 높을수록 주식의 투자 가치는 높다고 볼 수 있지. EPS가 높다는 건 그만큼 경영실적이 양호하다는 뜻이며, 배당 여력도 많으므로 주가에 긍정적인 영향을 미치는 게 일반적인 견해라네."
disparity,"이격도(Disparity). 이동평균선을 이용해 추세전환과 매매 타이밍을 판단하는 기술적 분석 지표라네. 말 그대로, 현재의 주가와 이동평균 간의 간격(이격)을 뜻하네. 일반적으로 20일 이동평균선이 사용되지. 이격도가 100이면 현재의 주가와 이동평균이 일치한다는 뜻이네. 100보다 크면 현재의 주가가 이동평균보다 높고 100보다 작으면 이동평균보다 낮은 상태가 되지. 일반적으로 20일 이동평균선 기준으로 105 이상이면 현재의 주가가 과열권, 95 이하면 과매도 상태라고 판단한다네. 이동평균 대비 5% 폭을 기준으로 둔 셈이지. 물론 과열권, 과매도라 해서 무조건 매도, 매수해야 하는 건 아니네! 참고사항일 뿐이지. 또한 110과 90을 각각 기준으로 놓는 등 기준을 다소 느슨하게 둘 수도 있다네! 이격도와 지난 날의 주가 추이를 함께 살펴본다면, 내일의 투자 방향 또한 가늠해볼 수 있다네!"
investmentIndex,"“언제 매수, 매도하는 게 적정한 때일까” 참 어려운 문제지. 내 투자심리도로 판단의 기준을 추가해주겠네! 간단한 계산만으로 시장, 혹은 종목이 과열됐는지, 과매도 국면인지 판단하는 기술적 지표라네. 보통 12일을 기준으로 계산하네. 12일 내내 상승할 경우 투자심리도는 100. 12일 모두 하락한 날이었다면 0이네. 75 이상이면 비정상적인 과열권, 25 이하면 비정상적인 과매도권으로 판단하네. 또한 현재의 시장은 하락세지만 투자심리도가 25 이상이라면 바닥이 멀지 않았으므로 매입 타이밍으로 간주하기도 하네. 그러나 투자심리선은 주가의 등락은 감안하지 않는 방법이라네. 지표가 실제 상황을 왜곡해 오류를 범할 가능성이 있으므로 보조적인 지표로만 참고하게나."
