index,functions,arguments
전일가,trend.closeYest,1
현재가,trend.price,1
시가,trend.priceOpen,1
저가,trend.low,1
고가,trend.high,1
거래대금(백만),trend.tradingValue,1
52주최고가,trend.high52,1
52주최저가,trend.low52,1
상장주식수,fundamentalAnalysis.shares,1
시가총액,fundamentalAnalysis.marketCap,1
자본금,fundamentalAnalysis.capitalStock,1
PER,fundamentalAnalysis.per,1
EPS,fundamentalAnalysis.eps,1
외국인현재,fundamentalAnalysis.foreignShares,1
액면가,fundamentalAnalysis.parValue,1
상한가,trend.highestPrice,1
하한가,trend.lowestPrice,1
거래량,trend.volume,1
등락률,trend.percent,1
전일대비,trend.netchange,1
시세,trend.now,8
information,fundamentalAnalysis.information,10
차트, drawing.making_chart,1
이격도,technicalAnalysis.tech_disparity,1
수익률,profit.profitRank,1
내 주식,newFunc.my_list,1
내주식,newFunc.my_list,1
관심종목,newFunc.interest_list,1
아룬,technicalAnalysis.aroon,1
투자심리도,technicalAnalysis.investmentIndex,1
거래량오실레이터,technicalAnalysis.volumeOSC,1
차트링크,drawingchart,1
