index,functions,arguments
테스트,testing,1
전일가,closeYest,1
현재가,price,1
시가,priceOpen,1
저가,low,1
고가,high,1
거래대금(백만),tradingValue,1
52주최고가,high52,1
52주최저가,low52,1
상장주식수,shares,1
시가총액,marketCap,1
자본금,capitalStock,1
PER,per,1
EPS,eps,1
외국인현재,foreignShares,1
액면가,parValue,1
상한가,highestPrice,1
하한가,lowestPrice,1
거래량,volume,1
등락률,percent,1
전일대비,netchange,1
시세,now, 8
information, information, 10
차트, drawing.making_chart, 1
이격도5일선, tech_disparity_5, 1
이격도10일선,tech_disparity_10, 1
이격도15일선, tech_disparity_15, 1
1주일수익률, profitRank_5, 1
2주일수익률, profitRank_10, 1
1달수익률, profitRank_20, 1
3달수익률, profitRank_60, 1
6달수익률, profitRank_120, 1
1년수익률, profitRank_250, 1
이격도, tech_disparity, 1
